Application,Application ID,Platform,Platform ID
Overwatch,356875221078245376,battlenet,Pro
World of Warcraft,356875762940379136,battlenet,
Hearthstone,356875890958925834,battlenet,
Heroes of the Storm,356878860190613504,battlenet,
Diablo III,358425751197974528,battlenet,D3
Diablo III,358425751197974528,battlenet,
StarCraft II: Battle Chest,358425800766128128,battlenet,
StarCraft,363409793119158272,battlenet,
Warcraft III: Reign of Chaos,424719708785344525,battlenet,
World of Warcraft Public Test,426525131276550144,battlenet,
Call of Duty: Black Ops 4,490913233667096576,battlenet,
World of Warcraft Classic,615752773690064908,battlenet,WoW
Call of Duty Black Ops Cold War,1124352451844259940,battlenet,
Call of Duty: Vanguard,1124352672015863928,battlenet,
Diablo Immortal,1124353329640783962,battlenet,
Call of Duty: Modern Warfare 2 Campaign Remastered,1124359112461926440,battlenet,
Call of Duty: Black Ops 6,1306357637893587014,battlenet,
Call of Duty: Black Ops Cold War,1402416935982862508,battlenet,
Call of Duty: Modern Warfare,1402418073365119047,battlenet,
