Application,Application ID,Platform,Platform ID
Rainbow Six Siege,356876590342340608,epic,CARNATION
Rocket League,356877880938070016,epic,9773AA1AA54F4F7B80E44BEF04986CEA
ARK: Survival Evolved,356887282982191114,epic,ARK
Path of Exile,356888453796986880,epic,7AD5508D382E46228056F1D1A0189AE2
Brawlhalla,356944273133928458,epic,15E6680A0C164EE189FCC3EB10398FD6
Sonic Mania,356953520278339584,epic,45E7CF3C49054F2FB20B673D9B0AE69E
Cities: Skylines,356954111901433856,epic,6009BE9994C2409099588CDE6F3A5ED0
Dead by Daylight,357607133254254632,epic,611482B8586142CDA48A0786EB8A127C
SMITE,358422012990849024,epic,076207FA2B5C4803A636AF606C3C28B7
Tom Clancy's The Division,359507798930751488,epic,03ECCA4E19A9483AA05B3D99948C43CE
The Sims 4,359509007423242240,epic,2A14CF8A83B149919A2399504E5686A6
Fallout 4,359509759642042378,epic,9C1A74145A9145EC803D7452E80819A0
Fallout: New Vegas,359509858728542208,epic,3428AAAB2C674C98B3ACB789DCFAA548
Battlefield 4,359510680459673610,epic,0A541DEB1BBB42C987CB48D695431E18
XCOM 2,359510740878491658,epic,7EC453D446194B8F8AFE82AAA9561211
The Elder Scrolls V: Skyrim - Special Edition,359801269008859136,epic,C8738A4D1EAD40368EAB9688B3C7D737
Outlast,363408634568376320,epic,78F42129096D4233BCCC527733DEBFBD
Europa Universalis IV,363409417632481280,epic,80D3AEB1D7C3434981E0BCBC47700A83
Killing Floor 2,363409749175173120,epic,AFFC33B82405457595A032F00284ABD2
Slime Rancher,363411395854991400,epic,CORYDALIS
Titanfall 2,363411468441354240,epic,0AF9F54FEDD4457AA7C8D23566036BDB
Star Wars Battlefront,363412167934083072,epic,FEFE1DB11F534484987EF50EC1E25225
Enter the Gungeon,363413202090065920,epic,BE13F6C4FB11427FBF3313CE93B97CC0
Elite: Dangerous,363413225578037248,epic,3DB17ABFD650423F993291624B1B2AC1
EVE Online,363413402300710912,epic,DE554CFF12704DB4A900032BBD194D7E
RimWorld,363413465584500737,epic,7051EADBB8C2435CAF32A9BC0DC17936
BeamNG.drive,363413743335374859,epic,4E53F148899A4565BDED9D485880203E
Sid Meier's Civilization VI,363413834301571072,epic,CD14DCAA4F3443F19F7169A980559C62
The Elder Scrolls Online,363413894602948608,epic,27AA2EBDCDA14B3BB8A669AAB73CA55F
FTL: Faster Than Light,363414030188150801,epic,F7DC1618D0BD4810A61F50D44333900E
Prison Architect,363414635812093962,epic,3FFB410DAB2D409AACD39A1ABC6FCBBA
The Escapists 2,363414712186306560,epic,115577F4EF1E4055AAF0DA534FDFE81E
Total War: Warhammer II,363426802640617482,epic,0F710EBF203F42E1A26A8BC5CB48709A
Tom Clancy's Ghost Recon: Wildlands,363428336749379604,epic,HYACINTH
Kerbal Space Program,363429406376722442,epic,CA0530B485754032BE50CB6F27BE0C2C
Rise of the Tomb Raider,363429423728427008,epic,48FFECF4A89F4FD496817B0451384F39
Total War: Warhammer,363430260810973194,epic,0C321AC6D5FE49139C153253B60702F4
Oxygen Not Included,363430471322828800,epic,LOTUS
Nuclear Throne,363430560942653440,epic,742F165671424189AECDFDADF5EA9755
Dishonored 2,363431216000532480,epic,1DCDDBCC334945C48353B75A8FCE5E5E
Destiny 2,372438022647578634,epic,428115DEF4CA4DEEA9D69C99C5A5A99E
Fallout: A Post Nuclear Role Playing Game,372825995084038144,epic,2E412CFCBD954E7180930E9784A47E18
Wolfenstein: The New Order,376171871873400832,epic,0BD3E505924240ADB702295FA08C1EFF
Darkest Dungeon,376180518749995028,epic,21916C391AE4425D8F6CCE2382AEBD0C
Bendy and the Ink Machine,376180724291731472,epic,4EBF21B7761E40CDB180D0604127E4A6
Assassin's Creed Origins,385538388419280896,epic,CAMELLIA
Shadowrun: Hong Kong - Extended Edition,387376045269057564,epic,0D66818E2304485F8DC3AE90C8B622B4
Rising Storm 2: Vietnam,387402304158040074,epic,3542A1DF211E492BB2ABECB7C734F7F9
The Long Dark,406638150857785344,epic,58DFCD1952EE48C1A1FA31C6ACE5FE3D
Neverwinter,406645401437863936,epic,9A4A6536096C4307BFB235D811F754CE
Borderlands: The Pre-Sequel,406645950782636041,epic,6110C92696A54F108C8E9002713EA5F9
theHunter: Call of the Wild,406646161563189258,epic,C7F9346E3DB148FCA6DD63E9DD8451BD
This War of Mine,406646471098892298,epic,91189432BBAD4478AFD611EDFF7F0339
Kingdom Come: Deliverance,419267878014025728,epic,CA4058F18B0A4A9E9E2CCC28F7F33000
Borderlands 2,421150698168909834,epic,F4A7772A4DA24870A3EA6DFB8AEAC662
Assassin's Creed Chronicles: China,425433703041335346,epic,F8C4AC7957164721802514C6FC99E66D
Assassin's Creed Rogue,425434983080001556,epic,34F7E1E275924BB6A90074920F9C1696
Assassin's Creed Unity,425435152634609664,epic,72BDC702B4974024A69A5EB718A7A135
Batman: Arkham Knight,425437076188561408,epic,E5E30C728F1947759251EB5283FFA6E3
Far Cry,425437906363219968,epic,71F938F91F0A4CCFABA0BE708A930E8A
Far Cry 2,425437961669181477,epic,A0B8D4482F3D4F939F35F87A3F367865
Far Cry 4,425438134709518336,epic,CF87285950BA492BBDC370B9D265EA36
Far Cry: Primal,425438207631556608,epic,LARKSPUR
For Honor,425438403819995145,epic,SUNDROP
