Application,Application ID,Platform,Platform ID
Fallout: New Vegas,359509858728542208,gog,
The Long Dark,406638150857785344,gog,
Rebel Galaxy,425441408242155530,gog,
Shovel Knight,425441726736629760,gog,
Saints Row 2,425442587508211712,gog,
SuperPower 2,425458179539730462,gog,
The Witcher: Enhanced Edition Director's Cut,484451241825533962,gog,
Hearts of Iron III,492118503508279316,gog,
Majesty Gold HD,492120134937346049,gog,
Torchlight,492121941155643402,gog,
A Kiss for the Petals - Remembering How We Met,496521775161671734,gog,
AI War: Fleet Command,496525786468319232,gog,
Alan Wake's American Nightmare,496526142673649724,gog,
Dawn of Discovery,496530041895911429,gog,
Astebreed,496533728932134922,gog,
Blake Stone: Planet Strike,496538565451317259,gog,
Braid,496540068442537984,gog,
Clive Barker's Undying,496552265977692181,gog,
"Cook, Serve, Delicious!",496558661041127444,gog,
Crimsonland,496561007888433152,gog,
Crysis,496562734889041930,gog,
DarkStar One,496566320213655552,gog,
Downwell,496576457082929152,gog,
Dust: An Elysian Tail,496580906916511764,gog,
Evoland 2,496583339986387004,gog,
Fran Bow,496761451738955804,gog,
Freedom Planet,496761999708127232,gog,
Hand of Fate,496776430110113843,gog,
Hard West,496776675351330846,gog,
Hatoful Boyfriend,496777244090302490,gog,
King Arthur's Gold,496845988154048541,gog,
Long Live the Queen,496848705027178496,gog,
Lovers in a Dangerous Spacetime,496851934339268622,gog,
NEO Scavenger,498971609764200478,gog,
Rayman 2: The Great Escape,498991556724916225,gog,
Retro City Rampage DX,504026620068233235,gog,
Reus,504027911213285423,gog,
Shadowgrounds,504031323443167273,gog,
Shantae and the Pirate's Curse,504032449173389372,gog,
Sid Meier's Railroads!,504033484919144452,gog,
Space Pirates and Zombies,504046366302142494,gog,
SpaceChem,504046850584739850,gog,
Strafe,504054126280310794,gog,
Tales from the Borderlands,504057675286315028,gog,
Tales of Maj'Eyal,504065891043115008,gog,
The Elder Scrolls IV: Oblivion,504074409628401690,gog,
The Marvellous Miss Take,504076592218112047,gog,
The Vanishing of Ethan Carter Redux,504078762292543506,gog,
TIS-100,504079649702412295,gog,
Triple Town,504083025211162677,gog,
Uplink,504085139983433774,gog,
Warsow,504086535079985181,gog,
Xenonauts,504088140139462686,gog,
Grandia II HD Remaster,505135738719961143,gog,
"Invisible, Inc.",505139793940709376,gog,
The Legend of Heroes: Trails in the Sky,505519194146603009,gog,
Thronebreaker: The Witcher Tales,511619499053678668,gog,
Bastion,1402416610962309140,gog,
Screencheat,1402416742264737902,gog,
Gwent: The Witcher Card Game,1402416769486032967,gog,
Tooth and Tail,1402416813098143744,gog,
Startup Company,1402416847651078345,gog,
Oddworld: New 'n' Tasty,1402416910707986503,gog,
The Banner Saga 3,1402416913447129228,gog,
