Application,Application ID,Platform,Platform ID
Z1: Battle Royale,356881342321000448,,
Dolphin,356943187589201930,,
Project 64,357606193918771210,,
Battlefield 1,358417041981571082,,
Blade & Soul,358421781398421514,,
Realm of the Mad God,363414084542005258,,
FIFA 17,363414398129274890,,
Middle-earth: Shadow of Mordor,363424997080956928,,
Battlefield 3,363431403469144064,,
Guitar Hero III: Legends of Rock,363431817312731136,,
FIFA 18,385537854320934922,,
Zombidle,387375748262002710,,
Total War: Rome II,387403734080159763,,
War Trigger 3,403373728290963478,,
Pokémon Trading Card Game Online,406638244835622912,,
CrossFire BR,406645350506561547,,
Tibia,406645450863804416,,
Homefront,406646102297804826,,
Total War: Arena,421150683329462272,,
Watch Dogs,425440319509626881,,
Mafia III,425443292831023113,,
Far Cry 3: Blood Dragon,425454019205529600,,
Call of Juarez - Gunslinger,425456506431995914,,
Lord of the Rings: War in the North,425460776195719168,,
Evolve Stage 2,425748985517703188,,
ArcheAge,443155983670312969,,
SimCity,443157047157194772,,
Toontown Rewritten,446062074842447909,,
Project64,446063198198693898,,
Dawn of War II - Retribution,451540774530711572,,
Phantasy Star Online 2,451544889331679242,,
EverQuest,451546783668109322,,
Heroes of Newerth,451547098916192284,,
Zula,451547924531249152,,
S.K.I.L.L. - Special Force 2,451549001511075860,,
Secret World Legends,451552107825201152,,
Gold Mining Simulator,451564928868941824,,
Star Citizen,452295596917784577,,
Far Cry 4,454811906230845440,,
Dreadnought,457284340330659864,,
Napoleon: Total War,457284624977100800,,
Arpiel Online,457299794772230154,,
마비노기 영웅전,457300488199733265,,
Lineage II,457300834393391104,,
MapleStory 2,457301027453009947,,
Command & Conquer: Generals - Zero Hour,457301510515195924,,
CRSED: F.O.A.D.,457888043668340737,,
Guild Wars,470282452674412564,,
The Sims 2: Ultimate Collection,470283475660963850,,
Shadows: Heretic Kingdoms,489917480274362368,,
Star Wars: Republic Commando,492129256772599837,,
Europa Universalis II,492159419837186053,,
Victoria: An Empire Under the Sun,492161312730775553,,
Aeon Rivals,496524827050508316,,
Age of Conan: Unchained,496525141467987991,,
Battlefield 2142,496535501465976835,,
Bejeweled Blitz,496537107708248064,,
Block Sport,496538914673262596,,
Clonk Rage,496552591111618565,,
Combat Arms,496553014220554270,,
Crowfall,496561718668034078,,
Diablo,496571953147150354,,
Diablo II,496572658255790080,,
Dragon's Dogma Online,496578773647622187,,
Entropia Universe,496581460438941716,,
Flyff,496758691064709120,,
Furcadia,496763066889797674,,
Guitar Hero World Tour,496774309042192384,,
Halo: Custom Edition,496775885249314885,,
Halo: Combat Evolved,496776262136758277,,
Limit Ragnarok Online,496847615456051220,,
Marvel Heroes 2015,496852775406141450,,
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,498948228146921472,,
Need for Speed: Carbon,498971474841960450,,
Neocron Evolution,498971892968062976,,
PixelJunk Shooter Ultimate,498981476050927653,,
MechWarrior: Living Legends,498984088418516992,,
PokeMMO,498985820221603840,,
Jackpot Poker by PokerStars,498986175512576058,,
Lockheed Martin: Prepar3D,498986525757800468,,
ProjectRIK,498987268048945162,,
Ragnarok Online,498990766643740692,,
Rappelz,498991137214955531,,
Asheron's Call,504021888805240914,,
Shadowrun,504032333532364840,,
Spider-Man 3,504047615139119143,,
SWAT 4,504056709015404544,,
Tetris,504071879993196544,,
Tony Hawk's Underground,504081569405730826,,
Tony Hawk's Underground 2,504081807340470291,,
TransforBest,504082814350655518,,
Unreal Tournament,504084447797313537,,
Age of Wushu,504422264599609344,,
Aokana: Four Rhythms Across the Blue,504764773167136768,,
Cabal 2,504769131615223838,,
Combat Mission: Black Sea,504801397825470464,,
Combat Mission: Shock Force,504801527219617808,,
Command & Conquer: Red Alert 2 and Yuri’s Revenge,504801959954612274,,
Cosmic Break,504802978784346122,,
CosmicBreak2,504803174880903188,,
CosmicLeague_US,504803374613528600,,
Creeper World 2,504803589898633216,,
Dragon Quest X: Inishie no Ryuu no Denshou Online,505125120960888877,,
Microsoft Halo Trial,505137576256995328,,
Illarion,505138979264528414,,
Open in the Groove,505139561995829278,,
IvAc,505139956017266688,,
Kamidori Alchemy Meister,505140655501213696,,
Kara no Shojo 2,505140834644000812,,
Next,505142782654939150,,
Metal Gear Solid 2: Substance,505146559835406352,,
Modlands 0.512a version 0.512a,505147819255136297,,
PangYa,505151476427915283,,
Phantasy Star Online Blue Burst,505152925115482112,,
Project Hedra,505153723941781523,,
Metal Gear Solid,505489991175110676,,
MapleRoyals,505490321174560783,,
Quake III Arena,505493023031951411,,
Nitronic Rush,505494175702188032,,
PCSX2,505494914872770583,,
Planescape: Torment,505495215856025620,,
RetroArch,505497615748694018,,
S4 League,505498926443528202,,
Sonic & All Stars Racing Transformed,505500365404373004,,
SoulWorker,505501322947199006,,
Super Smash Flash 2,505502904640208902,,
The Simpsons: Hit & Run,505504523012276234,,
TMNT 2 - Battle Nexus,505505520417767425,,
Touhou 10.5: Scarlet Weather Rhapsody,505506928596877352,,
Touhou Hisoutensoku: Choudokyuu Ginyoru no Nazo wo Oe,505513116302573578,,
Touhou 13: Ten Desires,505514028341395495,,
Touhou 13.5 Hopeless Mascarade,505514368520290305,,
Touhou 14: Double Dealing Character,505514719885393960,,
Touhou 14.3: Impossible Spell Card,505515309726433328,,
Touhou 14.5: Urban Legend in Limbo,505515610667614232,,
Touhou 15: Legacy of Lunatic Kingdom,505515966289936393,,
Touhou 7: Perfect Cherry Blossom,505516832590004244,,
Touhou 7.5: Immaterial and Missing Power,505517064601993254,,
Touhou 8: Imperishable Night,505517586327535646,,
Touhou Puppet Dance Performance,505518371333472276,,
VisualBoyAdvance,505520145997889546,,
Xonotic,505520839303757848,,
YGOPro,505520955649556490,,
Zwift,505523904517898240,,
Star Wars: Battlefront Classic Collection,788507043358834698,,
Fears to Fathom: Carson House,1124352015301095566,,
Zoo Tycoon,1124353424067153980,,
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,1124353629382525039,,
Pixel Painter,1124353848253890660,,
Sherlock Holmes: Crimes and Punishments,1124354263536119849,,
Ghost Exorcism Inc.,1124355229173956728,,
Persona 3 Portable,1124355659274670201,,
Redeemer,1124357549257408553,,
Kaion Tale MMORPG,1124358573875539989,,
Defender's Quest: Valley of the Forgotten,1124359514460803233,,
信長の野望･新生,1124360362360320090,,
Spiritfarer,1129504521626861732,,
eFootball 2023,1141144907654910103,,
RuneLite,1162151882039504916,,
Microsoft Minesweeper,1163957136213168159,,
FIFA 19,1164696488589406288,,
FIFA 20,1164697042187194458,,
iRacing.com Race Simulation,1164997420145459210,,
MovieStarPlanet,1168672770259959939,,
Alicia Online,1170070899567906877,,
Microsoft Halo,1174756409330647060,,
Die in the Dungeon: Origins,1180795587948466216,,
クジラゲームオンライン,1200470225720705074,,
Escape from Tarkov: Arena,1215361187684946010,,
삼국지14,1262785928766689376,,
世界樹の迷宮 HD REMASTER,1302527716389552128,,
12,1343190681090523156,,
Claire's Quest,1344353374811848785,,
imgui sample,1350212618949758986,,
Stronghold Legends,1350287432242823238,,
中華一商：傳承,1352446678543630357,,
ユミアのアトリエ ～追憶の錬金術士と幻創の地～,1353986824040615989,,
13!,1359196158035103846,,
세피리아,1360177588034736249,,
Asterix & Obelix XXL,1361551670236024902,,
世界樹の迷宮Ⅲ 星海の来訪者 HD REMASTER,1365915414789488680,,
Cars Mater-National,1367410331386773554,,
РУСЫ ПРОТИВ ЯЩЕРОВ 2,1367546189209276446,,
レッツプレイ！オインクゲームズ,1368603150977728643,,
Deathless,1369131830288322601,,
Emoji Clicker Collector,1369491566028128377,,
千恋＊万花,1370067773572648970,,
苏丹的游戏,1370792563359092958,,
ソフィーのアトリエ ～不思議な本の錬金術士～ DX,1386405446918869173,,
Stellar Settlers,1388609989760913468,,
Eyes: The Horror Game,1389727348688945192,,
Warframe Test,1402416639273861211,,
Crossfire,1402416706776989886,,
Mudlet,1402416728926851133,,
fin-dev,1402416786548461589,,
던전앤파이터,1402416795352305716,,
Sekiro: Shadows Die Twice,1402416796874834143,,
Longshot [Dev],1402416803191459951,,
SINNER,1402416808803438614,,
Paladins Strike,1402416829808509029,,
Star Wars: Rebellion,1402416830395453481,,
Oddworld: Stranger's Wrath,1402416850251288696,,
Masters of Anima,1402416884846170284,,
Last Year,1402416907843534919,,
Galactic Civilizations III,1402416918882942976,,
Counter-Strike: Global Offensive,1402416952713941106,,
Warframe Dev,1402416961962381402,,
King of the Hat,1402416963460010085,,
AT SUNDOWN: SitD,1402416966110806026,,
Hunt: Showdown,1402417933225033759,,
Age of Empires: Definitive Edition,1402418154541678746,,
osu!,1402418239342120960,,
PUBG LITE,1402418385052237944,,
Chess2,1402418683510522006,,
Nitro,1402418692922540144,,
UV Slayer Playground,1402418701516668981,,
Grand Theft Auto V Legacy,1402418714716143646,,
Free Fire,1407144801089880165,,
Word Search!,1407160052086735121,,
東方錦上京 〜 Fossilized Wonders.,1410353259712872660,,
Helicity,1411040262934761552,,
星の翼,1411138433837170742,,
Jigsaw Puzzles,1411432808815132743,,
💥CITY DESTRUCTION💥,1411666885405048904,,
⚽Ultimate Soccer,1411885786294521956,,
Silent Hill 2,1411968834306576394,,
Dodge the Ball,1412036797273477141,,
Y,1412059543382396980,,
Base Attack,1412361423098609777,,
WASD : 토리의 모험,1414973700087877852,,
Staffer Case: A Supernatural Mystery Adventure,1418944857287823520,,
TETR.IO,1420129716496633876,,
おにぎり屋さんシミュレーター,1420409519288094831,,
MR QA,1420467744943509555,,
Toy Story 2: Buzz Lightyear to the Rescue!,1428170901933002886,,
Quiz Thiz USA,1428171665325686918,,
Winning Post 10,1428171691342954566,,
Syphon Filter,1428171732682018866,,
Quiz Thiz United Kingdom,1428171814521274488,,
Star Wars: Rebel Assault II - The Hidden Empire,1428171957941043201,,
Star Wars Episode I: The Phantom Menace,1428171968846499901,,
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Battle Chronicle,1428172022873063434,,
Hot Wheels: Rift Rally,1428172207691137054,,
Creed: Rise to Glory - Championship Edition,1428172238095646851,,
Hustle Kings,1428174716488646847,,
Jak II,1428174797535187024,,
Primal Carnage: Evolution,1428175024233119868,,
Academy of Drift,1428175378182045917,,
Winning Post 10 2024,1428175568368566272,,
Metal Gear & Metal Gear 2: Solid Snake,1428175666880450610,,
Interaction Isn't Explicit.,1428175811625619528,,
Road Bustle Online,1428176060503036036,,
R Drive,1428176229399265320,,
Pretzel Rides VR,1428176927125934212,,
Fantasy Beauties,1428177114623905875,,
Supermarket Simulation Grocery Empire 3D,1428177593412091954,,
Puzzle Drop Carnival,1428177881711775775,,
Rally Cross,1428177959264456895,,
The Great Fleece,1428177988989489213,,
The Jumping Donut,1428178087878590526,,
Operation Bodycam,1428178266799476848,,
The Jumping Ice Cube,1428178317038583941,,
"Yeah! You Want ""Those Games,"" Right? So Here You Go! Now, Let's See You Clear Them! 1+2",1428178350135836693,,
Gates of Migad,1428178693099880478,,
Chained Climb Together,1428178842870354042,,
TCG Empire: Card Shop Simulator,1428178850507915285,,
TCG Card Market Simulator,1428179039054729246,,
