Application,Application ID,Platform,Platform ID
Rainbow Six Siege,356876590342340608,uplay,635
Tom Clancy's The Division,359507798930751488,uplay,
Tom Clancy's The Division,359507798930751488,uplay,568
Tom Clancy's Ghost Recon: Wildlands,363428336749379604,uplay,1771
Assassin's Creed Origins,385538388419280896,uplay,3539
Assassin's Creed IV Black Flag,406637677199360030,uplay,273
Assassin's Creed Chronicles: China,425433703041335346,uplay,1651
Assassin's Creed Revelations,425436928041680931,uplay,40
Beyond Good & Evil,425437404854222858,uplay,232
For Honor,425438403819995145,uplay,569
Steep,425439790746566666,uplay,3279
Assassin's Creed Syndicate,425453938582487068,uplay,1875
Dawn of Discovery,496530041895911429,uplay,89
Anno 2205,496530253905264659,uplay,
Anno 2205,496530253905264659,uplay,1253
Assassin's Creed Odyssey,497898978466070528,uplay,5059
Might & Magic: Heroes VI,498942150042451978,uplay,44
Zombi,504088792223842314,uplay,1653
Assassin's Creed Valhalla,775754545778786314,uplay,13504
Tom Clancy's Rainbow Six Extraction,1124354215867854968,uplay,5271
Roller Champions,1124354763941752882,uplay,11899
Immortals Fenyx Rising,1124358688619118652,uplay,5405
Assassin's Creed Mirage,1163197033901998190,uplay,6100
XDefiant,1245451463736692857,uplay,15657
Skull and Bones,1270832378310557788,uplay,6150
Skull and Bones,1270832378310557788,uplay,1713
Tom Clancy's The Division 2,1402416649495122141,uplay,4932
Tom Clancy's Ghost Recon: Breakpoint,1402417012747014304,uplay,11903
Watch Dogs,1402418022521770185,uplay,274
