Application,Application ID,Platform,Platform ID
Overwatch,356875221078245376,xbox,9MXTMG78TH08
Overwatch,356875221078245376,xbox,C1C4DZJPBC2V
Overwatch,356875221078245376,xbox,9P36DQX6W9CS
Rainbow Six Siege,356876590342340608,xbox,9NLJDN4Z1ZVG
Rainbow Six Siege,356876590342340608,xbox,9PBH7HWC5C26
Rainbow Six Siege,356876590342340608,xbox,9MXV7SVW8D84
Rainbow Six Siege,356876590342340608,xbox,BPW3J66WVW89
Rainbow Six Siege,356876590342340608,xbox,C12T09DSVP8J
Rainbow Six Siege,356876590342340608,xbox,BWQTG0R4GJ92
Rainbow Six Siege,356876590342340608,xbox,BRP6N9XW7J68
Rainbow Six Siege,356876590342340608,xbox,9PCC8L3VZ8V3
Rainbow Six Siege,356876590342340608,xbox,9P131WBLG8L8
Rainbow Six Siege,356876590342340608,xbox,9MSPKPMH7DZ1
Rainbow Six Siege,356876590342340608,xbox,BZ6LTPV6H7N0
Rainbow Six Siege,356876590342340608,xbox,9NBLGGH6CQBH
Rainbow Six Siege,356876590342340608,xbox,9PB3RHWXB9MR
Rainbow Six Siege,356876590342340608,xbox,9N1VMR3CFL3T
Rocket League,356877880938070016,xbox,C125W9BG2K0V
ARK: Survival Evolved,356887282982191114,xbox,BPP79RSDN892
ARK: Survival Evolved,356887282982191114,xbox,9MT8ND8BS6NB
ARK: Survival Evolved,356887282982191114,xbox,9NBLGGH52XC6
ARK: Survival Evolved,356887282982191114,xbox,BNBLC4ZGFNKB
Path of Exile,356888453796986880,xbox,BZL0234XFMQ5
FINAL FANTASY XIV ONLINE,356889262362329098,xbox,9MVG4XH77J0R
Brawlhalla,356944273133928458,xbox,9MXMZ39GVHPG
Brawlhalla,356944273133928458,xbox,C3B1V55CDL0C
The Walking Dead: The Telltale Definitive Series,356953358952562688,xbox,BW6B077FCH11
The Walking Dead: The Telltale Definitive Series,356953358952562688,xbox,9NBLGGH4VXRW
Sonic Mania,356953520278339584,xbox,9MXG7JNZT2XM
Sonic Mania,356953520278339584,xbox,9MXNZV24608B
Sonic Mania,356953520278339584,xbox,BXH46NQT9W4Q
Golf With Your Friends,356954034701205504,xbox,9MVK5W0HMRP7
Golf With Your Friends,356954034701205504,xbox,9N14G09PWG74
Golf With Your Friends,356954034701205504,xbox,9N3TR2SPBKF5
War Thunder,357607478105604096,xbox,9P2TWQKMJT3D
War Thunder,357607478105604096,xbox,9N5R7PXKG480
War Thunder,357607478105604096,xbox,BX1DTCBD1HXJ
War Thunder,357607478105604096,xbox,9NNQ4B3JRRVG
War Thunder,357607478105604096,xbox,9NHG7KPT3JLQ
War Thunder,357607478105604096,xbox,9NHFHBBWSCSB
The Binding of Isaac: Rebirth,358420454764969994,xbox,BQD45PQR4F4J
SMITE,358422012990849024,xbox,9P307GFZHHN0
SMITE,358422012990849024,xbox,C2MHS238PDNS
SMITE,358422012990849024,xbox,9NQHJCW66QMX
SMITE,358422012990849024,xbox,9NB784738WBC
Tom Clancy's The Division,359507798930751488,xbox,BP9JL0BT2QQ0
Tom Clancy's The Division,359507798930751488,xbox,BRGPD72KHM3Q
Tom Clancy's The Division,359507798930751488,xbox,C1BJP5P7HVFG
Tom Clancy's The Division,359507798930751488,xbox,9NDJPHS21XXG
Don't Starve Together,359508004078616586,xbox,BQ7NMRJT1NQ4
ShellShock Live,359508342571401216,xbox,BPRJN4SWDHQ8
Space Engineers,359508404034600990,xbox,9P4B641CQFG2
Space Engineers,359508404034600990,xbox,9NLV3X229LG1
Portal 2,359508941782122496,xbox,BT2B17V20D1P
Call of Duty: Black Ops III,359509332490059776,xbox,C3Q2WWJJ2T1H
Call of Duty: Black Ops III,359509332490059776,xbox,9P2Z4LP10ZMC
Stardew Valley,359509387670192128,xbox,C3D891Z6TNQM
Stardew Valley,359509387670192128,xbox,9MWR1NC6VQ6L
Fallout 4,359509759642042378,xbox,C3KLDKZBHNCZ
Fallout 4,359509759642042378,xbox,C24SVX28PNWM/0001/9RR6K5T2TSLM
Fallout 4,359509759642042378,xbox,9P71MB9QCF77
Fallout: New Vegas,359509858728542208,xbox,BX3JNK07Z6QK
Battlefield 4,359510680459673610,xbox,9NPSWGMTPRVW
Battlefield 4,359510680459673610,xbox,C3JM9MMHTGGJ
Battlefield 4,359510680459673610,xbox,BP15SF17LH13
XCOM 2,359510740878491658,xbox,BQWGBMCKRMSQ
XCOM 2,359510740878491658,xbox,BP0JKGVDHHFD
The Elder Scrolls V: Skyrim - Special Edition,359801269008859136,xbox,9P03JGQ4S1GC
The Elder Scrolls V: Skyrim - Special Edition,359801269008859136,xbox,BQ1W1T1FC14W
Outlast,363408634568376320,xbox,BP3GH4D3HP2H
Stellaris,363408909962182683,xbox,9MW2X7FQ4ZG9
Stellaris,363408909962182683,xbox,BZ4T3D950PWZ
Stellaris,363408909962182683,xbox,9NXQPGMR917R
Stellaris,363408909962182683,xbox,BWL72GR7Z7GK
Trove,363409000399634432,xbox,C4M5BK5HMGJD
Gang Beasts,363409129643180032,xbox,BPQZT43FWD49
7 Days to Die,363409643973771264,xbox,BRL7GC0GP1BM
7 Days to Die,363409643973771264,xbox,9P6DWL7R6NTL
7 Days to Die,363409643973771264,xbox,9P0617LN3SF9
UNDERTALE,363409849859571722,xbox,9PJGGX9XJXPB
UNDERTALE,363409849859571722,xbox,9N046HWGQ4J2
